Baseline results (train)

Hyperparameters: 
-Adam Optimizer
-batch_size = 1000
-n_epochs = 30
-lr = 0.005

Epoch 0:
=====>loss: 1.5749547
Epoch 1:
=====>loss: 1.5219591
Epoch 2:
=====>loss: 1.4883802
Epoch 3:
=====>loss: 1.4642618
Epoch 4:
=====>loss: 1.4455764
Epoch 5:
=====>loss: 1.4305178
Epoch 6:
=====>loss: 1.4180952
Epoch 7:
=====>loss: 1.4076791
Epoch 8:
=====>loss: 1.3988369
Epoch 9:
=====>loss: 1.3912559
Epoch 10:
=====>loss: 1.3847023
Epoch 11:
=====>loss: 1.3789967
Epoch 12:
=====>loss: 1.3739986
Epoch 13:
=====>loss: 1.3695961
Epoch 14:
=====>loss: 1.3656989
Epoch 15:
=====>loss: 1.3622339
Epoch 16:
=====>loss: 1.3591398
Epoch 17:
=====>loss: 1.356367
Epoch 18:
=====>loss: 1.3538727
Epoch 19:
=====>loss: 1.3516215
Epoch 20:
=====>loss: 1.3495836
Epoch 21:
=====>loss: 1.3477329
Epoch 22:
=====>loss: 1.3460475
Epoch 23:
=====>loss: 1.344509
Epoch 24:
=====>loss: 1.3431004
Epoch 25:
=====>loss: 1.3418077
Epoch 26:
=====>loss: 1.3406185
Epoch 27:
=====>loss: 1.3395221
Epoch 28:
=====>loss: 1.3385087
Epoch 29:
=====>loss: 1.3375701
